Avg min between sent tnx,Avg min between received tnx,Sent tnx,Received Tnx,Unique Received From Addresses,Unique Sent To Addresses,avg val received,avg val sent,total ether received,total ether balance,FLAG
7750.02,59605.36,7,8,2,5,6.144594,1.013286,49.1567487,42.0637487,0
621.07,5012.75,14,17,9,10,39.759632,48.273105,675.9137486,0.090278633,0
13243.1,38530.77,9,8,5,6,0.270796,0.421015,2.16637118,-1.622766947,0
5815.7,845.41,30,1024,1,30,0.24501,6.696126,250.8904564,50.00667943,0
1905.13,728.9,124,6,4,8,12.769696,0.647486,76.61817535,-3.670073533,0
24.63,3319.39,3,3,3,1,5.281667,5.281031,15.845,0.001907957,0
59.56,24076.63,4,5,2,2,0.173506,0.21567,0.86753194,0.004851,0
0,0,1,1,1,1,12,11.999559,12,0.000441,0
56814.86,62086.18,3,2,2,3,10,13.301956,20,-19.90586873,0
2.23,0,4,2,2,4,1000.5,500.249528,2001,0.001886545,0
52.48,287.13,24,28,13,1,2.036327,2.375185,57.01714267,0.012708609,0
1466.39,44699.56,6,7,5,2,10.936062,15.753561,76.5524362,-17.96892874,0
25905.07,1129.25,6,5,1,2,13.701916,11.41756,68.50958028,0.004221,0
3834.85,2945.2,121,53,18,63,7.878402,3.571783,417.5553096,-14.6304328,0
3880.52,1645.59,21,12,5,12,4.114642,2.350007,49.37569865,0.025560232,0
21466.84,20051.27,23,9,5,11,6.755565,4.835781,60.80008333,-50.42288815,0
1904.23,4621.92,16,9,9,11,1.947683,1.118571,17.52914441,-0.367999256,0
248.61,17068.13,1156,19,9,72,72.622476,1.206055,1379.827042,-14.37230628,0
10154.24,5026.86,87,25,10,41,10.501527,3.933071,262.5381628,-79.63904036,0
674.61,221,16,4,2,10,63.3775,15.825,253.51,0.31,0
3517.86,7188.55,49,30,11,22,110.350012,100.90074,3310.500353,-1633.635915,0
20.41,0,5,1,1,4,101,20.199496,101,0.00252,0
0,8831.65,0,33,5,0,1.402192,0,46.27232361,46.27232361,0
244.78,169.09,61,8,3,4,0.121569,0.010066,0.97255313,0.35855313,0
0,0,1,1,1,1,0.449477,0.447277,0.44947692,0.0022,0
0,0,1,1,1,1,0.86761,0.86699,0.867610131,0.00062,0
408.32,170321.78,3,2,2,2,0.23,0.280059,0.46,-0.380176274,0
5801.32,3041.25,85,40,10,24,18.64848,8.995439,745.9391851,-18.67313494,0
3.6,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
0,0,1,1,1,1,1,0.996747,1,0.00325311,0
13.67,40512.33,17,17,5,3,12.28744,12.28679,208.8864824,0.011052491,0
193,0,4,1,1,2,0.39,0.099442,0.39,-0.00776788,0
20981.23,121771.36,11,3,3,6,10.397695,2.833016,31.19308507,0.029906,0
129.61,26178.65,3,11,5,2,32.977228,240.576616,362.7495057,-358.9803421,0
0,0,1,1,1,1,0.732876,0.731616,0.732876,0.00126,0
5.88,0.42,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
21.65,0,3,1,1,3,101,33.666149,101,0.001554,0
31239.32,984.92,8,2,2,4,1.5,0.34,3,0.28,0
997.32,84555.41,4,4,3,3,1.31125,2.591529,5.245,-5.121116224,0
9.02,12.37,59,34,8,52,3.455158,1.990643,117.475363,0.027399237,0
3.62,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
15.48,0,3,1,1,3,101,33.666149,101,0.001554,0
63819.21,336.67,8,2,2,5,0.800922,0.458381,1.6018449,-2.065204501,0
161.67,0.04,2,2,2,2,50.5,50.499508,101,0.000984218,0
5.05,0,4,2,2,3,1000.5,500.249528,2001,0.001886545,0
157.32,0,2,1,1,2,101,50.499508,101,0.000984218,0
36.98,0,2,1,1,2,30,14.999496,30,0.001008,0
3.21,0.38,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
108.58,0.82,3,2,2,3,50.5,33.666165,101,0.001506437,0
0,2336.51,0,98,3,0,0.9501,0,93.10979582,93.10979582,0
26.4,620.61,163,217,5,2,314.639235,418.874903,68276.71402,0.104811001,0
3500.97,14465.72,6,55,1,4,0.46172,2.128333,25.39458564,12.62458564,0
2809.83,3186.72,58,67,12,32,8.303953,9.990969,556.364853,-23.1113442,0
19121.43,11.04,14,2,1,9,3.74915,0.677948,7.4983,-1.99296836,0
1396.24,1470.58,213,580,8,132,0.316584,0.860486,183.6186244,0.335129226,0
30200.21,109066.9,6,4,4,5,5.418029,3.611791,21.67211742,0.00137294,0
0,1426.21,0,159,5,0,0.91998,0,146.2768721,146.2768721,0
0,0,1,1,1,1,2.75,2.74938,2.75,0.00062,0
24.47,0,3,2,2,3,50.5,33.666159,101,0.001523001,0
1449.95,556.53,191,438,4,3,0.696882,1.597554,305.2343334,0.101450356,0
5.13,3733.57,34,34,1,34,0.385352,0.384883,13.10198159,0.015961896,0
0,27224.25,0,13,5,0,1.33857,0,17.40140661,17.40140661,0
24.86,0.23,3,2,2,3,50.5,33.666163,101,0.001512,0
20.87,0,3,1,1,3,101,33.666149,101,0.001554,0
6,37680.11,7,8,4,1,9.842931,11.24715,78.74344479,0.01339322,0
155.16,0,2,1,1,2,101,50.499508,101,0.000984218,0
13.6,0,3,1,1,3,101,33.666149,101,0.001554,0
364.17,230.02,682,557,554,170,1.220148,0.995851,679.6224224,0.45179059,0
1.97,1332.65,2,2,2,1,296.1,296.099456,592.2,0.001088977,0
8197.19,3055.47,98,47,18,40,20.405141,11.861401,959.0416393,-203.3756139,0
0,0,1,1,1,1,4.995,4.98,4.995,0.015,0
1.97,0,3,2,2,3,1000.5,666.99939,2001,0.001830667,0
161.06,0.63,2,2,2,2,50.5,50.499508,101,0.000984218,0
5.95,123984.24,6,6,5,2,5.843667,5.84204,35.062,0.00975847,0
93612.1,10060.62,2,80,3,1,0.098978,3.958433,7.918215339,0.00135,0
5.75,8482.58,18,18,7,1,5.466667,5.465914,98.4,0.013551552,0
5.66,16246.22,11,11,11,1,1.018111,1.017056,11.19922425,0.01161011,0
72100,10243.09,13,8,4,8,131.189784,80.696,1049.518271,0.47027113,0
163.02,0.94,2,2,2,2,50.5,50.499508,101,0.000984218,0
162.38,0.63,2,2,2,2,50.5,50.499508,101,0.000984218,0
132551.76,47103.98,6,3,3,3,2.744752,2.171335,8.23425725,-4.793751,0
0,0,1,1,1,1,1,0.999559,1,0.000441,0
0,19247.54,0,13,4,0,0.452745,0,5.88569015,5.88569015,0
159.83,0.92,2,2,2,2,50.5,50.499508,101,0.000984218,0
22.05,21.34,8901,7835,189,650,3647.937469,3210.983135,28581590.07,629.1782661,0
6736.68,1019.6,16,73,72,1,0.123734,0.56413,9.03258,0.006507092,0
17363.42,3975.35,4,2,1,3,6.995,7.918247,13.99,-17.682988,0
0,0,1,1,1,1,12.123629,12.123009,12.12362879,0.00062,0
160.19,0.15,2,2,2,2,50.5,50.499508,101,0.000984218,0
3.54,3346.38,2,2,2,1,0.601137,0.600717,1.202274835,0.000840005,0
0,4097.93,0,47,5,0,11.885895,0,558.6370505,558.6370505,0
152.67,0,2,1,1,2,101,50.499286,101,0.001428506,0
0,0,1,1,1,1,2.39451,2.394006,2.39451049,0.000504,0
22.91,0,3,1,1,3,101,33.666149,101,0.001554,0
6.38,2935.83,68,70,70,68,2.018109,2.077035,141.2676352,0.029244115,0
0,0,1,1,1,1,0.70724,0.7064,0.70724002,0.00084,0
162.63,0.43,2,2,2,2,50.5,50.499508,101,0.000984218,0
71.83,27.81,5304,4698,333,2525,81.983698,214.505344,385159.4122,-752576.9329,0
3.59,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
26.18,20470.41,4,4,2,1,6.236932,6.23386,24.94772779,0.01228876,0
10.53,2020.11,9,12,2,9,6.710382,8.946717,80.5245836,0.004129493,0
159.52,0,2,1,1,2,101,50.499508,101,0.000984218,0
2411.88,84822.03,11,4,3,6,0.31883,0.112727,1.27532199,0.03532431,0
3827.27,1074.42,64,1560,1,43,1.994397,47.960507,3111.258825,41.78640022,0
22.77,0,3,1,1,3,101,33.666149,101,0.001554,0
484.97,13360.06,22,17,13,21,0.263426,0.203076,4.47824154,0.01058002,0
16472.66,8727.64,45,20,9,25,2.005246,0.911633,40.10491576,-0.918555982,0
0,1995.75,0,160,3,0,0.670056,0,107.2089593,107.2089593,0
1.88,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
367.75,5872.92,1259,69,21,78,40.263488,4.987012,2778.180693,-3500.466893,0
0,0,1,1,1,1,1.373735,1.358735,1.373735,0.015,0
5487.5,22466.36,14,28,5,7,0.653013,0.920945,18.28436324,5.391128874,0
2516.11,10216,12,27,9,11,0.089581,0.201136,2.41867522,0.00504,0
0,44163.43,0,2,2,0,254.5,0,509,509,0
0,0,1,1,1,1,0.3,0.29938,0.3,0.00062,0
163.85,0,2,1,1,2,101,50.499508,101,0.000984218,0
0,0,1,1,1,1,1.466441,1.465969,1.46644078,0.000471636,0
1.56,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
0,0,1,1,1,1,1,0.999559,1,0.000441,0
0,2762.25,0,76,5,0,0.240532,0,18.28040267,18.28040267,0
0,3801.67,0,84,4,0,1.186623,0,99.67635547,99.67635547,0
161.61,0.94,2,2,2,2,50.5,50.499508,101,0.000984218,0
0,11594.2,0,18,5,0,68.129553,0,1226.331962,1226.331962,0
7.4,1945.73,41,41,1,1,0.108187,0.107767,4.43565538,0.01722,0
136.47,482175.49,4,2,2,3,15.061125,7.53027,30.1222493,0.00116968,0
0,6682.47,0,82,5,0,0.219089,0,17.96526264,17.96526264,0
0,12143.51,0,24,3,0,0.785615,0,18.85476593,18.85476593,0
8691.1,4980.4,2,3,2,2,2.086115,3.128731,6.25834463,0.00088263,0
0,2405.98,0,118,5,0,0.403462,0,47.60848499,47.60848499,0
0,1346.79,0,143,4,0,0.111189,0,15.89998028,15.89998028,0
18151.95,29228.1,7,5,5,4,7.284753,5.20281,36.42376702,0.004094496,0
21.68,0,3,1,1,3,101,33.666149,101,0.001554,0
1.35,0.68,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
161.55,0.82,2,2,2,2,50.5,50.499487,101,0.001026218,0
5.71,5707.63,2,3,3,1,1.799266,2.697775,5.39779878,0.00224945,0
0,0,1,1,1,1,10,9.999528,10,0.000471636,0
0,0,1,1,1,1,0.225559,0.225055,0.22555922,0.000504,0
4.81,0,4,2,2,4,1000.5,500.249528,2001,0.001886545,0
103.49,0,3,1,1,3,101,33.666171,101,0.001488218,0
160.58,0,2,1,1,2,101,50.499508,101,0.000984218,0
3070.03,35556.84,51,23,8,25,1.277459,0.69957,29.38156653,-6.29650084,0
160.38,0.6,2,2,2,2,50.5,50.499508,101,0.000984218,0
231.96,112125.71,8,9,6,1,5.425545,6.102275,48.82990775,0.011706884,0
6.29,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
0,824.57,0,275,7,0,1.30568,0,359.061997,359.061997,0
20437.43,47057.88,15,3,2,11,0.204333,0.120252,0.613,-1.190776506,0
0,0,1,1,1,1,0.381175,0.380555,0.381175036,0.00062,0
6.44,76.03,5,5,1,1,6.9,6.899288,34.5,0.003559205,0
15.95,0,4,1,1,4,101,25.249475,101,0.0021,0
0,0,1,1,1,1,1.116753,1.114553,1.11675294,0.0022,0
0,3396.11,0,72,5,0,0.839403,0,60.43698417,60.43698417,0
0.93,1748.94,64,64,3,2,0.201675,0.200835,12.90717676,0.05376,0
0,2426.58,0,117,6,0,0.854269,0,99.94944496,99.94944496,0
0,191,0,1624,1,0,0,0,0,0,0
17.24,1420.14,203,204,3,1,10.766147,10.815768,2196.294011,0.6931342,0
3294.21,5448.4,129,107,50,57,43.940834,35.926786,4701.669219,67.11380848,0
18.7,365.31,1058,1063,2,2,0.325509,0.326628,346.0164569,0.444381,0
0,0,1,1,1,1,0.01,0.009418,0.01,0.000581532,0
0,0,1,1,1,1,0.180717,0.179795,0.18071719,0.000921794,0
9.49,11318.66,47,51,4,1,0.829698,0.897617,42.31458197,0.126566116,0
0,0,1,1,1,1,2.2,2.199496,2.2,0.000504,0
159.96,0.6,2,2,2,2,50.5,50.499508,101,0.000984218,0
3.23,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
134.97,8427.96,103,105,1,1,1.024937,1.042574,107.6184304,0.23326833,0
0,0,0,1,1,0,1.844472,0,1.84447207,1.84447207,0
28424.74,23213.4,16,9,6,13,0.711047,0.398909,6.39942711,0.01688182,0
329.02,1898.84,42,43,1,2,0.106772,0.108894,4.59120935,0.017661,0
0,3309.56,0,16,2,0,75.747587,0,1211.9614,1211.9614,0
11.52,8965.07,35,35,1,1,0.047967,0.047499,1.678830057,0.016355725,0
163.93,0,2,1,1,2,101,50.499508,101,0.000984218,0
22.18,0,3,1,1,3,101,33.666149,101,0.001554,0
1363.42,1856.04,34,401,6,6,2.768859,32.655689,1110.312284,0.018856844,0
0,0,0,1,1,0,2.445368,0,2.44536818,2.44536818,0
0,6436.01,0,91,6,0,0.304631,0,27.72145346,27.72145346,0
0,781.62,1,2,2,1,0.009002,0,0.018003663,0.018003663,0
0,0,1,1,1,1,1.09336,1.092856,1.09335951,0.000504,0
131125.24,56578.38,2,7,5,2,23.718381,0.7505,166.0286673,164.5276673,0
3037.03,12801.65,4,5,3,4,1.125,1.405809,5.625,0.001764,0
0,1647.44,0,139,4,0,1.087885,0,151.2160301,151.2160301,0
27916.36,2700.56,6,8,2,2,6.104675,8.139129,48.8374,0.00262559,0
0,4049.26,0,56,3,0,0.535253,0,29.9741884,29.9741884,0
0,5931.59,0,57,4,0,0.453275,0,25.83669695,25.83669695,0
5.22,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
0,0,1,1,1,1,0.269876,0.269404,0.26987556,0.000471636,0
0,0,1,1,1,1,10.172054,10.17155,10.17205368,0.000504,0
23.86,0.49,3,2,2,3,50.5,33.665992,101,0.002024127,0
0,0,1,1,1,1,10,9.9978,10,0.0022,0
0,0,1,1,1,1,1,0.99938,1,0.00062,0
0,0,1,1,1,1,0.18,0.17938,0.18,0.00062,0
276.53,2096.14,105,83,14,42,36.757033,29.054867,3050.833773,0.072752844,0
166.16,0.21,2,2,2,2,50.5,50.499487,101,0.001026218,0
0,0,1,1,1,1,64.867547,64.866707,64.867547,0.00084,0
2104.21,5422.52,3,2,2,3,0.0991,0.065425,0.19819913,0.001925554,0
106.06,7808.66,99,100,2,3,1.048997,1.058727,104.8997309,0.08573712,0
80.35,0.84,4,2,2,3,50.5,25.249508,101,0.001968437,0
165.27,0.7,2,2,2,2,50.5,50.499487,101,0.001026218,0
36.82,2261.81,24,24,2,1,11.543095,11.542642,277.0342855,0.010878908,0
2059.98,7971.34,55,58,16,2,2.265128,2.391085,131.3774116,-0.132278095,0
0,7559.25,0,30,2,0,0.893621,0,26.80862106,26.80862106,0
0,0,1,1,1,1,0.2955,0.294453,0.2955,0.001046957,0
23.84,0.18,3,2,2,3,50.5,33.666151,101,0.001548055,0
0,0,1,1,1,1,0.329405,0.32886,0.32940511,0.000544754,0
18.32,0,3,1,1,3,101,33.666149,101,0.001554,0
0,8540.11,0,24,2,0,54.274167,0,1302.58,1302.58,0
19815.22,106764.47,14,6,6,9,0.68577,0.461588,4.11461982,-2.34761718,0
6.14,62.16,9997,3,1,1371,15,1.00E-06,45,44.99439167,0
8521.89,7446.07,66,16,10,26,7.203399,1.745379,115.2543787,0.0593787,0
23.55,0.44,3,2,2,3,50.5,33.666148,101,0.001555573,0
0,0,0,1,1,0,0.126419,0,0.12641884,0.12641884,0
1.24,0.07,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
32184.54,45861.57,3,7,5,2,51.506429,120.180701,360.545,0.002898,0
4222.44,1244.43,3,45,5,1,0.133748,2.005772,6.018639658,0.001323,0
157.73,0,2,1,1,2,101,50.499508,101,0.000984218,0
26.52,0,2,1,1,2,101,50.499475,101,0.00105,0
0,0,1,1,1,1,0.05,0.04938,0.05,0.00062,0
161.55,0.63,2,2,2,2,50.5,50.499508,101,0.000984218,0
0,0,1,1,1,1,0.142549,0.141929,0.14254875,0.00062,0
1.12,0.07,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
34782.5,52001.03,7,7,2,3,0.928535,0.926766,6.49974161,0.01237811,0
0,0,1,1,1,1,0.062141,0.061521,0.062141135,0.00062,0
3.62,0,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
0,3420.64,0,83,5,0,0.801673,0,66.53886848,66.53886848,0
0,0,1,1,1,1,0.1094,0.108614,0.1094,0.00078606,0
305.22,264489.01,5,3,3,5,4.373274,2.623575,13.11982281,0.00194664,0
1.03,12437.77,16,16,14,1,1.703401,1.702504,27.25442392,0.0143572,0
39172.64,52599.21,2,5,4,2,0.119699,0.298903,0.59849623,0.000691,0
163.19,0.37,2,2,2,2,50.5,50.499508,101,0.000984218,0
29673.5,9589.24,22,6,3,12,2.079205,0.560875,12.4752274,0.1359874,0
0,0,1,1,1,1,6,5.998953,6,0.001046957,0
95997.34,24287.63,8,5,4,8,3.845298,2.376145,19.22649206,0.217331427,0
570.27,80707.17,2,4,3,1,0.4095,0.5,1.638,0.638,0
8252.81,13955.93,16,48,5,4,6.404237,19.212001,307.4033737,0.011364502,0
0,1619.66,0,140,3,0,1.687324,0,236.2253748,236.2253748,0
4559.52,11437.51,73,37,15,40,32.229119,16.534022,1192.477393,-14.50622072,0
1.24,0.07,3,2,2,3,1000.5,666.999528,2001,0.001414909,0
5217.07,5819.92,127,57,37,67,5.386577,2.648994,307.0349073,-29.38729011,0
1281.65,920.14,128,98,51,88,3.679377,2.816058,360.5789308,0.12349736,0
2.48,3660.15,4,4,3,1,31.887495,31.886743,127.549979,0.003005425,0
0,3067.91,0,169,4,0,0.233656,0,39.48784328,39.48784328,0
27805.31,46509.98,21,8,8,10,2.663289,1.29619,21.3063106,-5.9136894,0
1073.76,1476.59,16,5,4,5,3.062821,0.955726,15.31410258,0.022491225,0
4.14,8490.96,2,2,2,2,0.433439,0.432594,0.86687716,0.001689062,0
24.9,0,13,1,1,12,101,7.768726,101,0.00655978,0
0,2606.57,0,87,4,0,0.940666,0,81.8379298,81.8379298,0
160.51,0,2,1,1,2,101,50.499508,101,0.000984218,0
57.51,28749.02,5051,24,7,7,8.711833,0.122372,209.0839809,-409.0145104,0
0,10548.62,0,11,6,0,5.241467,0,57.65614122,57.65614122,0
794.29,531.76,67,800,1,3,4.902757,58.539899,3922.205556,0.032317878,0
24.04,1.01,3,2,2,3,50.5,33.666159,101,0.001523001,0
14354.08,2854.57,11,100,3,8,0.04984,0.452565,4.983953164,0.005738902,0
0,155.33,1,2,1,1,1.297302,2.593891,2.59460479,0.000714034,0
327.65,181.64,29,3,1,11,3.9507,0.406806,11.8521,0.054738,0
110.2,0.01,3,3,3,3,33.666667,33.666157,101,0.001530218,0
163.32,0,2,1,1,2,101,50.499508,101,0.000984218,0
0,6778.5,0,43,4,0,0.739379,0,31.79330035,31.79330035,0
2105.92,3379.09,237,156,34,101,20.632972,13.877436,3218.743692,-70.20870643,0
0,0,1,1,1,1,25.398802,25.397755,25.39880211,0.001046957,0
158.33,0,2,1,1,2,101,50.499508,101,0.000984218,0
163.54,2.01,2,2,2,2,50.5,50.499487,101,0.001026218,0
2283.6,25559,60,55,5,3,77.254917,70.81473,4249.020441,0.136670341,0
0,0,1,1,1,1,2.080186,2.079566,2.0801859,0.00062,0
972.41,217.41,2,3,2,2,11.324135,17.07099,33.9724061,-0.169573198,0
0,1626.96,0,119,5,0,0.687114,0,81.76654211,81.76654211,0
14915.69,3911.93,9,219,5,6,0.465595,10.800196,101.9653841,4.763622838,0
2.58,3274.75,81,91,16,1,15.395501,17.338454,1400.990629,-3.424122821,0
163.45,0.02,2,2,2,2,50.5,50.499487,101,0.001026218,0
7615.41,22252.64,13,10,2,8,0.082497,0.06692,0.82496756,-0.044989188,0
24.18,0.33,3,2,2,3,50.5,33.666149,101,0.001554,0
12.78,8980.9,70,70,2,1,0.246505,0.245862,17.25534477,0.045032073,0
33.22,0,3,1,1,3,101,33.666163,101,0.001512,0
2.63,25.46,1098,894,1,738,0.773005,0.628947,691.0667363,0.483221875,0
1714.67,7067.61,14,19,2,1,0.649381,0.880469,12.33824514,0.011679678,0
0,0,1,1,1,1,2,1.99938,2,0.00062,0
9789.1,9500.64,10,17,2,3,51.857753,88.1577,881.581794,0.004790624,0
0,0,1,1,1,1,22,21.99938,22,0.00062,0
1819.56,1581.87,401,160,60,165,3.02817,1.302397,484.5072008,-37.75394306,0
2.52,0,3,1,1,3,423.243877,141.080821,423.2438767,0.001414909,0
0,1799.87,0,126,3,0,0.409729,0,51.6258967,51.6258967,0
0,0,1,1,1,1,1,0.99938,1,0.00062,0
23.18,0,2,1,1,2,101,50.499475,101,0.00105,0
15.31,517.6,1407,1497,1,3,0.098148,0.104006,146.927481,0.590961007,0
0,117.11,0,324,228,0,356.704453,0,115572.2429,115572.2429,0
0,0,1,1,1,1,0.112262,0.110062,0.11226227,0.0022,0
19244.67,0,2,1,1,2,7.986694,3.505,7.98669434,0.97669434,0
162.66,1.02,2,2,2,2,50.5,50.499487,101,0.001026218,0
22.72,170813.83,3,2,2,3,50.5,35.165551,101,-4.496652,0
155.42,0,2,1,1,2,101,50.499286,101,0.001428506,0
36.79,1612.27,533,536,4,1,1.66227,1.68018,890.9764872,-4.559279749,0
28793.99,7387.31,32,10,6,23,0.606368,0.174141,6.06367978,0.49117978,0
0,1429.36,0,140,3,0,0.899439,0,125.921517,125.921517,0
464.26,33817.19,14,18,2,4,0.17091,0.203618,3.07638424,0.225729,0
132.58,3285.9,184,188,6,1,1.121131,1.144663,210.7726674,0.154690804,0
108.44,0.82,3,2,2,2,50.5,33.666143,101,0.001572218,0
0,0,1,1,1,1,0.260166,0.259546,0.260165986,0.00062,0
2754.97,2545.19,90,124,2,3,1.390324,1.915083,172.4001663,0.042711868,0
483.31,290.3,2,2,2,2,1.146906,1.2295,2.29381225,-0.16518775,0
0,0,1,1,1,1,0.3,0.299559,0.3,0.000441,0
0,2086.99,0,153,5,0,1.249075,0,191.1084136,191.1084136,0
0,0,1,1,1,1,3,2.99938,3,0.00062,0
0,1972.07,0,115,3,0,0.17858,0,20.53671112,20.53671112,0
0,0,1,1,1,1,0.097559,0.097055,0.097559,0.000504,0
0,889.07,1,4,1,1,0.432863,0.037635,1.731452203,1.693817163,0
358.47,88046.23,3,3,2,3,3.669333,3.66752,11.008,0.005441,0
0,1764.16,0,114,3,0,0.343507,0,39.15981527,39.15981527,0
2796.41,37937.2,6,3,2,4,0.041821,0.020195,0.12546395,0.004293807,0
793.95,66237.99,11,12,8,1,89.427627,97.553795,1073.13152,0.039777475,0
3092.91,9775.97,11,76,3,9,0.208187,0.859318,15.82221171,6.369714386,0
29.37,1475.2,829,835,1,1,1.005456,1.01196,839.5553528,0.640848068,0
22.79,0,3,1,1,3,101,33.666149,101,0.001554,0
